lemma,present_phones,past_phones
it,IH T,IH T
visit,V IH Z IH T,V IH Z IH T IH D
reset,R IY S EH T,R IY S EH T
create,K R IY EY T,K R IY EY T AH D
base,B EY S,B EY S T
dope,D OW P,D OW P T
make,M EY K,M EY D
it,IH T,IH T
circle,S ER K AH L,S ER K AH L D
cut,K AH T,K AH T
de,D IY,D IH D
have,HH AE V,HH AE D
cost,K AA S T,K AA S T
mention,M EH N SH AH N,M EH N SH AH N D
have,HH AE V,HH AE D
replace,R IY P L EY S,R IY P L EY S T
start,S T AA R T,S T AA R T IH D
mind,M AY N D,M AY N D AH D
fee,F IY,F IY D
return,R IH T ER N,R IH T ER N D
it,IH T,IH T
observe,AH B Z ER V,AH B Z ER V D
include,IH N K L UW D,IH N K L UW D AH D
it,IH T,IH T
doe,D OW,D IH D
explore,IH K S P L AO R,IH K S P L AO R D
begin,B IH G IH N,B IH G AE N
input,IH N P UH T,IH N P UH T
think,TH IH NG K,TH AO T
have,HH AE V,HH AE D
it,IH T,IH T
think,TH IH NG K,TH AO T
scrape,S K R EY P,S K R EY P T
it,IH T,IH T
make,M EY K,M EY D
break,B R EY K,B R OW K
enter,EH N T ER,EH N T ER D
send,S EH N D,S EH N T
determine,D AH T ER M AH N,D IH T ER M AH N D
catch,K AE CH,K AA T
become,B IH K AH M,B IH K EY M
approve,AH P R UW V,AH P R UW V D
become,B IH K AH M,B IH K EY M
read,R EH D,R EH D
allay,AH L EY,AH L EY D
wee,W IY,W IY D
organize,AO R G AH N AY Z,AO R G AH N AY Z D
think,TH IH NG K,TH AO T
have,HH AE V,HH AE D
set,S EH T,S EH T
passe,P AE S EY,P AE S T
send,S EH N D,S EH N T
make,M EY K,M EY D
cut,K AH T,K AH T
spread,S P R EH D,S P R EH D
it,IH T,IH T
de,D IY,D IH D
think,TH IH NG K,TH AO T
it,IH T,IH T
live,L AY V,L IH V D
fee,F IY,F IY D
it,IH T,IH T
cut,K AH T,K AH T
it,IH T,IH T
cum,K AH M,K EY M
become,B IH K AH M,B IH K EY M
garnish,G AA R N IH SH,G AA R N IH SH T
involve,IH N V AA L V,IH N V AA L V D
oppose,AH P OW Z,AH P OW Z D
it,IH T,IH T
fall,F AO L,F EH L
train,T R EY N,T R EY N D
begin,B IH G IH N,B IH G AE N
say,S EY,S EH D
record,R AH K AO R D,R AH K AO R D IH D
join,JH OY N,JH OY N D
make,M EY K,M EY D
ask,AE S K,AE S K T
describe,D IH S K R AY B,D IH S K R AY B D
organize,AO R G AH N AY Z,AO R G AH N AY Z D
change,CH EY N JH,CH EY N JH D
have,HH AE V,HH AE D
lift,L IH F T,L IH F T AH D
roll,R OW L,R OW L D
fall,F AO L,F EH L
doe,D OW,D IH D
have,HH AE V,HH AE D
say,S EY,S EH D
sit,S IH T,S AE T
update,AH P D EY T,AH P D EY T IH D
bang,B AE NG,B AE NG D
say,S EY,S EH D
set,S EH T,S EH T
subscribe,S AH B S K R AY B,S AH B S K R AY B D
have,HH AE V,HH AE D
relate,R IH L EY T,R IH L EY T IH D
put,P UH T,P UH T
prepare,P R IY P EH R,P R IY P EH R D
venture,V EH N CH ER,V EH N CH ER D
breathe,B R IY DH,B R IY DH D
base,B EY S,B EY S T
it,IH T,IH T
dissatisfy,D IH S AE T AH S F AY,D IH S AE T AH S F AY D
declare,D IH K L EH R,D IH K L EH R D
stretch,S T R EH CH,S T R EH CH T
it,IH T,IH T
pay,P EY,P EY D
give,G IH V,G EY V
it,IH T,IH T
cum,K AH M,K EY M
cure,K Y UH R,K Y UH R D
reduce,R AH D UW S,R AH D UW S T
have,HH AE V,HH AE D
recline,R IH K L AY N,R IH K L AY N D
have,HH AE V,HH AE D
it,IH T,IH T
issue,IH SH UW,IH SH UW D
it,IH T,IH T
say,S EY,S EH D
persuade,P ER S W EY D,P ER S W EY D IH D
imitate,IH M AH T EY T,IH M AH T EY T IH D
it,IH T,IH T
it,IH T,IH T
it,IH T,IH T
make,M EY K,M EY D
it,IH T,IH T
it,IH T,IH T
involve,IH N V AA L V,IH N V AA L V D
have,HH AE V,HH AE D
supply,S AH P L AY,S AH P L AY D
drop,D R AA P,D R AA P T
sit,S IH T,S AE T
remain,R IH M EY N,R IH M EY N D
set,S EH T,S EH T
recognize,R EH K AH G N AY Z,R EH K AH G N AY Z D
cut,K AH T,K AH T
issue,IH SH UW,IH SH UW D
mention,M EH N SH AH N,M EH N SH AH N D
have,HH AE V,HH AE D
burn,B ER N,B ER N D
remark,R IH M AA R K,R IH M AA R K T
state,S T EY T,S T EY T IH D
receive,R AH S IY V,R AH S IY V D
have,HH AE V,HH AE D
sound,S AW N D,S AW N D IH D
it,IH T,IH T
buffer,B AH F ER,B AH F ER D
live,L AY V,L IH V D
invade,IH N V EY D,IH N V EY D AH D
provide,P R AH V AY D,P R AH V AY D IH D
it,IH T,IH T
leave,L IY V,L EH F T
say,S EY,S EH D
read,R EH D,R EH D
argue,AA R G Y UW,AA R G Y UW D
doe,D OW,D IH D
pass,P AE S,P AE S T
match,M AE CH,M AE CH T
put,P UH T,P UH T
submit,S AH B M IH T,S AH B M IH T IH D
treat,T R IY T,T R IY T IH D
move,M UW V,M UW V D
go,G OW,W EH N T
volunteer,V AA L AH N T IH R,V AA L AH N T IH R D
it,IH T,IH T
dart,D AA R T,D AA R T IH D
worry,W ER IY,W ER IY D
agree,AH G R IY,AH G R IY D
it,IH T,IH T
oblige,AH B L AY JH,AH B L AY JH D
bind,B AY N D,B AW N D
practise,P R AE K T IH S,P R AE K T IH S T
prepare,P R IY P EH R,P R IY P EH R D
divide,D IH V AY D,D IH V AY D IH D
point,P OY N T,P OY N T IH D
de,D IY,D IH D
base,B EY S,B EY S T
it,IH T,IH T
give,G IH V,G EY V
abuse,AH B Y UW S,AH B Y UW Z D
it,IH T,IH T
require,R IY K W AY ER,R IY K W AY ER D
hurt,HH ER T,HH ER T
give,G IH V,G EY V
it,IH T,IH T
put,P UH T,P UH T
go,G OW,W EH N T
doe,D OW,D IH D
wet,W EH T,W EH T
absorb,AH B Z AO R B,AH B Z AO R B D
excavate,EH K S K AH V EY T,EH K S K AH V EY T IH D
regenerate,R IY JH EH N ER EY T,R IY JH EH N ER EY T IH D
create,K R IY EY T,K R IY EY T AH D
let,L EH T,L EH T
set,S EH T,S EH T
have,HH AE V,HH AE D
enter,EH N T ER,EH N T ER D
remain,R IH M EY N,R IH M EY N D
enter,EH N T ER,EH N T ER D
define,D IH F AY N,D IH F AY N D
inlet,IH N L EH T,IH N L EH T
vanquish,V AE NG K W IH SH,V AE NG K W IH SH T
let,L EH T,L EH T
use,Y UW S,Y UW Z D
it,IH T,IH T
it,IH T,IH T
base,B EY S,B EY S T
have,HH AE V,HH AE D
study,S T AH D IY,S T AH D IY D
make,M EY K,M EY D
have,HH AE V,HH AE D
it,IH T,IH T
postpone,P OW S T P OW N,P OW S T P OW N D
stare,S T EH R,S T EH R D
point,P OY N T,P OY N T IH D
it,IH T,IH T
have,HH AE V,HH AE D
mention,M EH N SH AH N,M EH N SH AH N D
bet,B EH T,B EH T
reclaim,R IY K L EY M,R IY K L EY M D
it,IH T,IH T
crawl,K R AO L,K R AO L D
impose,IH M P OW Z,IH M P OW Z D
audit,AO D IH T,AO D IH T IH D
classify,K L AE S AH F AY,K L AE S AH F AY D
dominate,D AA M AH N EY T,D AA M AH N EY T AH D
argue,AA R G Y UW,AA R G Y UW D
it,IH T,IH T
it,IH T,IH T
doe,D OW,D IH D
call,K AO L,K AO L D
force,F AO R S,F AO R S T
read,R EH D,R EH D
amend,AH M EH N D,AH M EH N D IH D
limit,L IH M AH T,L IH M AH T AH D
point,P OY N T,P OY N T IH D
have,HH AE V,HH AE D
orient,AO R IY EH N T,AO R IY EH N T AH D
it,IH T,IH T
have,HH AE V,HH AE D
let,L EH T,L EH T
pierce,P IH R S,P IH R S T
it,IH T,IH T
state,S T EY T,S T EY T IH D
it,IH T,IH T
it,IH T,IH T
average,AE V ER IH JH,AE V R AH JH D
violate,V AY AH L EY T,V AY AH L EY T IH D
limit,L IH M AH T,L IH M AH T AH D
apply,AH P L AY,AH P L AY D
charge,CH AA R JH,CH AA R JH D
doe,D OW,D IH D
leave,L IY V,L EH F T
use,Y UW S,Y UW Z D
separate,S EH P ER EY T,S EH P ER EY T IH D
doe,D OW,D IH D
receive,R AH S IY V,R AH S IY V D
dominate,D AA M AH N EY T,D AA M AH N EY T AH D
doe,D OW,D IH D
engage,EH N G EY JH,EH N G EY JH D
it,IH T,IH T
fell,F EH L,F EH L D
fly,F L AY,F L UW
it,IH T,IH T
unite,Y UW N AY T,Y UW N AY T IH D
marke,M AA R K,M AA R K T
set,S EH T,S EH T
orient,AO R IY EH N T,AO R IY EH N T AH D
define,D IH F AY N,D IH F AY N D
say,S EY,S EH D
base,B EY S,B EY S T
it,IH T,IH T
conceive,K AH N S IY V,K AH N S IY V D
divorce,D IH V AO R S,D IH V AO R S T
smile,S M AY L,S M AY L D
yell,Y EH L,Y EH L D
come,K AH M,K EY M
arm,AA R M,AA R M D
de,D IY,D IH D
have,HH AE V,HH AE D
it,IH T,IH T
it,IH T,IH T
it,IH T,IH T
it,IH T,IH T
call,K AO L,K AO L D
it,IH T,IH T
have,HH AE V,HH AE D
continue,K AH N T IH N Y UW,K AH N T IH N Y UW D
it,IH T,IH T
call,K AO L,K AO L D
leave,L IY V,L EH F T
handle,HH AE N D AH L,HH AE N D AH L D
think,TH IH NG K,TH AO T
it,IH T,IH T
it,IH T,IH T
couple,K AH P AH L,K AH P AH L D
de,D IY,D IH D
write,R AY T,R OW T
call,K AO L,K AO L D
illustrate,IH L AH S T R EY T,IH L AH S T R EY T AH D
let,L EH T,L EH T
assume,AH S UW M,AH S UW M D
base,B EY S,B EY S T
it,IH T,IH T
lift,L IH F T,L IH F T AH D
doe,D OW,D IH D
review,R IY V Y UW,R IY V Y UW D
recount,R IH K AW N T,R IH K AW N T IH D
require,R IY K W AY ER,R IY K W AY ER D
git,G IH T,G AA T AH N
boom,B UW M,B UW M D
make,M EY K,M EY D
excuse,IH K S K Y UW S,IH K S K Y UW Z D
have,HH AE V,HH AE D
dye,D AY,D AY D
it,IH T,IH T
live,L AY V,L IH V D
force,F AO R S,F AO R S T
have,HH AE V,HH AE D
say,S EY,S EH D
have,HH AE V,HH AE D
employ,EH M P L OY,EH M P L OY D
become,B IH K AH M,B IH K EY M
transfer,T R AE N S F ER,T R AE N S F ER D
it,IH T,IH T
have,HH AE V,HH AE D
read,R EH D,R EH D
become,B IH K AH M,B IH K EY M
embody,IH M B AA D IY,IH M B AA D IY D
it,IH T,IH T
have,HH AE V,HH AE D
admit,AH D M IH T,AH D M IH T IH D
have,HH AE V,HH AE D
sleep,S L IY P,S L EH P T
grow,G R OW,G R UW
doe,D OW,D IH D
make,M EY K,M EY D
it,IH T,IH T
reduce,R AH D UW S,R AH D UW S T
it,IH T,IH T
come,K AH M,K EY M
purchase,P ER CH AH S,P ER CH AH S T
have,HH AE V,HH AE D
employ,EH M P L OY,EH M P L OY D
help,HH EH L P,HH EH L P T
it,IH T,IH T
beat,B IY T,B IY T
polish,P AA L IH SH,P AA L IH SH T
cum,K AH M,K EY M
fall,F AO L,F EH L
stop,S T AA P,S T AA P T
it,IH T,IH T
have,HH AE V,HH AE D
make,M EY K,M EY D
batter,B AE T ER,B AE T ER D
analyze,AE N AH L AY Z,AE N AH L AY Z D
it,IH T,IH T
it,IH T,IH T
it,IH T,IH T
go,G OW,W EH N T
mention,M EH N SH AH N,M EH N SH AH N D
meet,M IY T,M EH T
come,K AH M,K EY M
call,K AO L,K AO L D
have,HH AE V,HH AE D
limit,L IH M AH T,L IH M AH T AH D
organize,AO R G AH N AY Z,AO R G AH N AY Z D
designate,D EH Z AH G N EY T,D EH Z IH G N EY T IH D
move,M UW V,M UW V D
say,S EY,S EH D
beguile,B IH G AY L,B IH G AY L D
pass,P AE S,P AE S T
change,CH EY N JH,CH EY N JH D
impose,IH M P OW Z,IH M P OW Z D
stretch,S T R EH CH,S T R EH CH T
leave,L IY V,L EH F T
come,K AH M,K EY M
provide,P R AH V AY D,P R AH V AY D IH D
dress,D R EH S,D R EH S T
recognize,R EH K AH G N AY Z,R EH K AH G N AY Z D
get,G EH T,G AA T
set,S EH T,S EH T
utilize,Y UW T AH L AY Z,Y UW T AH L AY Z D
it,IH T,IH T
feel,F IY L,F EH L T
prove,P R UW V,P R UW V D
categorize,K AE T AH G ER AY Z,K AE T AH G ER AY Z D
return,R IH T ER N,R IH T ER N D
become,B IH K AH M,B IH K EY M
marke,M AA R K,M AA R K T
have,HH AE V,HH AE D
kiss,K IH S,K IH S T
examine,IH G Z AE M IH N,IH G Z AE M AH N D
have,HH AE V,HH AE D
suit,S UW T,S UW T IH D
hear,HH IY R,HH ER D
retrieve,R IH T R IY V,R IY T R IY V D
crown,K R AW N,K R AW N D
read,R EH D,R EH D
it,IH T,IH T
passe,P AE S EY,P AE S T
doe,D OW,D IH D
dress,D R EH S,D R EH S T
limit,L IH M AH T,L IH M AH T AH D
it,IH T,IH T
mark,M AA R K,M AA R K T
go,G OW,W EH N T
it,IH T,IH T
receive,R AH S IY V,R AH S IY V D
go,G OW,W EH N T
call,K AO L,K AO L D
break,B R EY K,B R OW K
produce,P R AH D UW S,P R AH D UW S T
ask,AE S K,AE S K T
set,S EH T,S EH T
it,IH T,IH T
receive,R AH S IY V,R AH S IY V D
examine,IH G Z AE M IH N,IH G Z AE M AH N D
determine,D AH T ER M AH N,D IH T ER M AH N D
say,S EY,S EH D
it,IH T,IH T
have,HH AE V,HH AE D
have,HH AE V,HH AE D
it,IH T,IH T
occupy,AA K Y AH P AY,AA K Y AH P AY D
observe,AH B Z ER V,AH B Z ER V D
impose,IH M P OW Z,IH M P OW Z D
have,HH AE V,HH AE D
understand,AH N D ER S T AE N D,AH N D ER S T UH D
wince,W IH N S,W IH N S T
say,S EY,S EH D
bring,B R IH NG,B R AO T
have,HH AE V,HH AE D
relate,R IH L EY T,R IH L EY T IH D
doe,D OW,D IH D
it,IH T,IH T
give,G IH V,G EY V
it,IH T,IH T
use,Y UW S,Y UW Z D
address,AE D R EH S,AH D R EH S T
smile,S M AY L,S M AY L D
dispose,D IH S P OW Z,D IH S P OW Z D
surface,S ER F AH S,S ER F IH S T
cum,K AH M,K EY M
make,M EY K,M EY D
move,M UW V,M UW V D
de,D IY,D IH D
send,S EH N D,S EH N T
hear,HH IY R,HH ER D
make,M EY K,M EY D
involve,IH N V AA L V,IH N V AA L V D
fee,F IY,F IY D
it,IH T,IH T
mention,M EH N SH AH N,M EH N SH AH N D
it,IH T,IH T
hear,HH IY R,HH ER D
have,HH AE V,HH AE D
it,IH T,IH T
promise,P R AA M AH S,P R AA M AH S T
it,IH T,IH T
ask,AE S K,AE S K T
passe,P AE S EY,P AE S T
it,IH T,IH T
say,S EY,S EH D
set,S EH T,S EH T
it,IH T,IH T
it,IH T,IH T
output,AW T P UH T,AW T P UH T
encourage,EH N K ER IH JH,EH N K ER IH JH D
it,IH T,IH T
kiss,K IH S,K IH S T
it,IH T,IH T
have,HH AE V,HH AE D
it,IH T,IH T
have,HH AE V,HH AE D
remain,R IH M EY N,R IH M EY N D
make,M EY K,M EY D
make,M EY K,M EY D
say,S EY,S EH D
bite,B AY T,B IH T
determine,D AH T ER M AH N,D IH T ER M AH N D
ear,IY R,IH R D
code,K OW D,K OW D IH D
continue,K AH N T IH N Y UW,K AH N T IH N Y UW D
loop,L UW P,L UW P T
continue,K AH N T IH N Y UW,K AH N T IH N Y UW D
receive,R AH S IY V,R AH S IY V D
come,K AH M,K EY M
base,B EY S,B EY S T
it,IH T,IH T
desert,D EH Z ER T,D IH Z ER T IH D
fit,F IH T,F IH T AH D
entitle,EH N T AY T AH L,EH N T AY T AH L D
set,S EH T,S EH T
it,IH T,IH T
cost,K AA S T,K AA S T
use,Y UW S,Y UW Z D
locate,L OW K EY T,L OW K EY T AH D
it,IH T,IH T
set,S EH T,S EH T
have,HH AE V,HH AE D
engage,EH N G EY JH,EH N G EY JH D
make,M EY K,M EY D
it,IH T,IH T
limit,L IH M AH T,L IH M AH T AH D
it,IH T,IH T
award,AH W AO R D,AH W AO R D IH D
subject,S AH B JH EH K T,S AH B JH EH K T IH D
last,L AE S T,L AE S T AH D
justify,JH AH S T AH F AY,JH AH S T AH F AY D
open,OW P AH N,OW P AH N D
think,TH IH NG K,TH AO T
make,M EY K,M EY D
have,HH AE V,HH AE D
oppose,AH P OW Z,AH P OW Z D
it,IH T,IH T
have,HH AE V,HH AE D
kick,K IH K,K IH K T
say,S EY,S EH D
illustrate,IH L AH S T R EY T,IH L AH S T R EY T AH D
show,SH OW,SH OW D
it,IH T,IH T
interview,IH N T ER V Y UW,IH N T ER V Y UW D
exclude,IH K S K L UW D,IH K S K L UW D AH D
go,G OW,W EH N T
entrench,EH N T R EH N CH,EH N T R EH N CH T
sit,S IH T,S AE T
cause,K AA Z,K AA Z D
desire,D IH Z AY ER,D IH Z AY ER D
send,S EH N D,S EH N T
move,M UW V,M UW V D
it,IH T,IH T
satisfy,S AE T AH S F AY,S AE T AH S F AY D
say,S EY,S EH D
debate,D AH B EY T,D AH B EY T IH D
it,IH T,IH T
it,IH T,IH T
it,IH T,IH T
it,IH T,IH T
arouse,ER AW Z,ER AW Z D
cost,K AA S T,K AA S T
stop,S T AA P,S T AA P T
it,IH T,IH T
have,HH AE V,HH AE D
unite,Y UW N AY T,Y UW N AY T IH D
cum,K AH M,K EY M
de,D IY,D IH D
it,IH T,IH T
have,HH AE V,HH AE D
have,HH AE V,HH AE D
let,L EH T,L EH T
think,TH IH NG K,TH AO T
recruit,R AH K R UW T,R IH K R UW T IH D
admire,AE D M AY R,AH D M AY ER D
it,IH T,IH T
have,HH AE V,HH AE D
make,M EY K,M EY D
worth,W ER TH,W ER TH
it,IH T,IH T
retaliate,R IH T AE L IY EY T,R IH T AE L IY EY T IH D
assure,AH SH UH R,AH SH UH R D
train,T R EY N,T R EY N D
set,S EH T,S EH T
it,IH T,IH T
let,L EH T,L EH T
code,K OW D,K OW D IH D
transfer,T R AE N S F ER,T R AE N S F ER D
begin,B IH G IH N,B IH G AE N
it,IH T,IH T
de,D IY,D IH D
spring,S P R IH NG,S P R AE NG
impress,IH M P R EH S,IH M P R EH S T
prove,P R UW V,P R UW V D
derive,D ER AY V,D ER AY V D
get,G EH T,G AA T
mob,M AA B,M AA B D
it,IH T,IH T
get,G EH T,G AA T
have,HH AE V,HH AE D
doe,D OW,D IH D
it,IH T,IH T
it,IH T,IH T
shut,SH AH T,SH AH T
walk,W AO K,W AO K T
shout,SH AW T,SH AW T IH D
hurry,HH ER IY,HH ER IY D
come,K AH M,K EY M
close,K L OW S,K L OW Z D
replace,R IY P L EY S,R IY P L EY S T
it,IH T,IH T
begin,B IH G IH N,B IH G AE N
show,SH OW,SH OW D
apply,AH P L AY,AH P L AY D
prepare,P R IY P EH R,P R IY P EH R D
modify,M AA D AH F AY,M AA D AH F AY D
move,M UW V,M UW V D
associate,AH S OW S IY AH T,AH S OW S IY EY T IH D
it,IH T,IH T
it,IH T,IH T
observe,AH B Z ER V,AH B Z ER V D
arm,AA R M,AA R M D
come,K AH M,K EY M
it,IH T,IH T
make,M EY K,M EY D
associate,AH S OW S IY AH T,AH S OW S IY EY T IH D
remove,R IY M UW V,R IY M UW V D
hurt,HH ER T,HH ER T
it,IH T,IH T
it,IH T,IH T
urge,ER JH,ER JH D
it,IH T,IH T
doe,D OW,D IH D
it,IH T,IH T
bite,B AY T,B IH T
say,S EY,S EH D
it,IH T,IH T
it,IH T,IH T
doe,D OW,D IH D
induce,IH N D UW S,IH N D UW S T
have,HH AE V,HH AE D
set,S EH T,S EH T
unite,Y UW N AY T,Y UW N AY T IH D
it,IH T,IH T
elucidate,IH L UW S AH D EY T,IH L UW S AH D EY T AH D
it,IH T,IH T
make,M EY K,M EY D
decode,D IH K OW D,D IH K OW D AH D
wish,W IH SH,W IH SH T
say,S EY,S EH D
return,R IH T ER N,R IH T ER N D
have,HH AE V,HH AE D
acknowledge,AE K N AA L IH JH,AE K N AA L IH JH D
breathe,B R IY DH,B R IY DH D
shoot,SH UW T,SH AA T
persuade,P ER S W EY D,P ER S W EY D IH D
it,IH T,IH T
remain,R IH M EY N,R IH M EY N D
leave,L IY V,L EH F T
go,G OW,W EH N T
leave,L IY V,L EH F T
change,CH EY N JH,CH EY N JH D
have,HH AE V,HH AE D
promise,P R AA M AH S,P R AA M AH S T
recruit,R AH K R UW T,R IH K R UW T IH D
it,IH T,IH T
it,IH T,IH T
doe,D OW,D IH D
sleep,S L IY P,S L EH P T
cum,K AH M,K EY M
study,S T AH D IY,S T AH D IY D
establish,IH S T AE B L IH SH,IH S T AE B L IH SH T
fold,F OW L D,F OW L D AH D
catch,K AE CH,K AA T
it,IH T,IH T
it,IH T,IH T
plot,P L AA T,P L AA T IH D
doe,D OW,D IH D
produce,P R AH D UW S,P R AH D UW S T
it,IH T,IH T
introduce,IH N T R AH D UW S,IH N T R AH D UW S T
repaint,R IY P EY N T,R IY P EY N T IH D
view,V Y UW,V Y UW D
treat,T R IY T,T R IY T IH D
have,HH AE V,HH AE D
determine,D AH T ER M AH N,D IH T ER M AH N D
say,S EY,S EH D
synthesize,S IH N TH AH S AY Z,S IH N TH IH S AY Z D
base,B EY S,B EY S T
cum,K AH M,K EY M
de,D IY,D IH D
apply,AH P L AY,AH P L AY D
submit,S AH B M IH T,S AH B M IH T IH D
go,G OW,W EH N T
accompany,AH K AH M P AH N IY,AH K AH M P AH N IY D
passe,P AE S EY,P AE S T
apply,AH P L AY,AH P L AY D
move,M UW V,M UW V D
have,HH AE V,HH AE D
come,K AH M,K EY M
baptize,B AE P T AY Z,B AE P T AY Z D
enter,EH N T ER,EH N T ER D
have,HH AE V,HH AE D
bring,B R IH NG,B R AO T
have,HH AE V,HH AE D
have,HH AE V,HH AE D
doe,D OW,D IH D
shout,SH AW T,SH AW T IH D
doe,D OW,D IH D
come,K AH M,K EY M
occur,AH K ER,AH K ER D
offset,AO F S EH T,AO F S EH T
it,IH T,IH T
it,IH T,IH T
laugh,L AE F,L AE F T
eliminate,IH L IH M AH N EY T,IH L IH M AH N EY T IH D
put,P UH T,P UH T
worth,W ER TH,W ER TH
let,L EH T,L EH T
generate,JH EH N ER EY T,JH EH N ER EY T AH D
it,IH T,IH T
make,M EY K,M EY D
identify,AY D EH N T AH F AY,AY D EH N T AH F AY D
mean,M IY N,M EH N T
decline,D IH K L AY N,D IH K L AY N D
flatter,F L AE T ER,F L AE T ER D
it,IH T,IH T
pass,P AE S,P AE S T
place,P L EY S,P L EY S T
deploy,D IH P L OY,D IH P L OY D
refer,R AH F ER,R AH F ER D
it,IH T,IH T
read,R EH D,R EH D
wear,W EH R,W AO R
revise,R IH V AY Z,R IH V AY Z D
cut,K AH T,K AH T
speak,S P IY K,S P OW K
have,HH AE V,HH AE D
de,D IY,D IH D
set,S EH T,S EH T
have,HH AE V,HH AE D
it,IH T,IH T
indicate,IH N D AH K EY T,IH N D AH K EY T AH D
introduce,IH N T R AH D UW S,IH N T R AH D UW S T
startle,S T AA R T AH L,S T AA R T AH L D
drive,D R AY V,D R OW V
interrupt,IH N T ER AH P T,IH N T ER AH P T IH D
make,M EY K,M EY D
set,S EH T,S EH T
it,IH T,IH T
charge,CH AA R JH,CH AA R JH D
it,IH T,IH T
have,HH AE V,HH AE D
require,R IY K W AY ER,R IY K W AY ER D
worry,W ER IY,W ER IY D
put,P UH T,P UH T
call,K AO L,K AO L D
it,IH T,IH T
have,HH AE V,HH AE D
introduce,IH N T R AH D UW S,IH N T R AH D UW S T
passe,P AE S EY,P AE S T
it,IH T,IH T
cum,K AH M,K EY M
call,K AO L,K AO L D
hear,HH IY R,HH ER D
it,IH T,IH T
have,HH AE V,HH AE D
ashame,AH SH EY M,AH SH EY M D
it,IH T,IH T
it,IH T,IH T
have,HH AE V,HH AE D
it,IH T,IH T
doe,D OW,D IH D
assume,AH S UW M,AH S UW M D
shape,SH EY P,SH EY P T
clear,K L IH R,K L IH R D
passe,P AE S EY,P AE S T
think,TH IH NG K,TH AO T
edit,EH D AH T,EH D AH T AH D
it,IH T,IH T
have,HH AE V,HH AE D
output,AW T P UH T,AW T P UH T
have,HH AE V,HH AE D
unite,Y UW N AY T,Y UW N AY T IH D
it,IH T,IH T
it,IH T,IH T
define,D IH F AY N,D IH F AY N D
desire,D IH Z AY ER,D IH Z AY ER D
pilot,P AY L AH T,P AY L AH T IH D
nod,N AA D,N AA D AH D
it,IH T,IH T
it,IH T,IH T
urge,ER JH,ER JH D
it,IH T,IH T
it,IH T,IH T
dress,D R EH S,D R EH S T
get,G EH T,G AA T
cum,K AH M,K EY M
express,IH K S P R EH S,IH K S P R EH S T
have,HH AE V,HH AE D
have,HH AE V,HH AE D
pour,P AO R,P AO R D
share,SH EH R,SH EH R D
realize,R IY AH L AY Z,R IY AH L AY Z D
it,IH T,IH T
offset,AO F S EH T,AO F S EH T
it,IH T,IH T
identify,AY D EH N T AH F AY,AY D EH N T AH F AY D
associate,AH S OW S IY AH T,AH S OW S IY EY T IH D
ask,AE S K,AE S K T
clasp,K L AE S P,K L AE S P T
train,T R EY N,T R EY N D
relate,R IH L EY T,R IH L EY T IH D
it,IH T,IH T
shade,SH EY D,SH EY D IH D
make,M EY K,M EY D
have,HH AE V,HH AE D
laugh,L AE F,L AE F T
change,CH EY N JH,CH EY N JH D
it,IH T,IH T
voice,V OY S,V OY S T
testify,T EH S T AH F AY,T EH S T AH F AY D
use,Y UW S,Y UW Z D
call,K AO L,K AO L D
preserve,P R AH Z ER V,P R AH Z ER V D
thrust,TH R AH S T,TH R AH S T
smile,S M AY L,S M AY L D
come,K AH M,K EY M
choke,CH OW K,CH OW K T
have,HH AE V,HH AE D
answer,AE N S ER,AE N S ER D
send,S EH N D,S EH N T
it,IH T,IH T
get,G EH T,G AA T
have,HH AE V,HH AE D
put,P UH T,P UH T
come,K AH M,K EY M
purchase,P ER CH AH S,P ER CH AH S T
call,K AO L,K AO L D
damn,D AE M,D AE M D
ascribe,AH S K R AY B,AH S K R AY B D
close,K L OW S,K L OW Z D
refine,R AH F AY N,R AH F AY N D
bind,B AY N D,B AW N D
have,HH AE V,HH AE D
pass,P AE S,P AE S T
recover,R IH K AH V ER,R AH K AH V ER D
have,HH AE V,HH AE D
marke,M AA R K,M AA R K T
close,K L OW S,K L OW Z D
it,IH T,IH T
displace,D IH S P L EY S,D IH S P L EY S T
it,IH T,IH T
it,IH T,IH T
leave,L IY V,L EH F T
encourage,EH N K ER IH JH,EH N K ER IH JH D
it,IH T,IH T
let,L EH T,L EH T
become,B IH K AH M,B IH K EY M
make,M EY K,M EY D
have,HH AE V,HH AE D
it,IH T,IH T
have,HH AE V,HH AE D
doe,D OW,D IH D
set,S EH T,S EH T
arm,AA R M,AA R M D
give,G IH V,G EY V
make,M EY K,M EY D
pore,P AO R,P AO R D
emerge,IH M ER JH,IH M ER JH D
cum,K AH M,K EY M
pay,P EY,P EY D
preserve,P R AH Z ER V,P R AH Z ER V D
it,IH T,IH T
have,HH AE V,HH AE D
cede,S IY D,S IY D AH D
think,TH IH NG K,TH AO T
it,IH T,IH T
think,TH IH NG K,TH AO T
open,OW P AH N,OW P AH N D
elapse,IH L AE P S,IH L AE P S T
associate,AH S OW S IY AH T,AH S OW S IY EY T IH D
have,HH AE V,HH AE D
have,HH AE V,HH AE D
value,V AE L Y UW,V AE L Y UW D
use,Y UW S,Y UW Z D
mention,M EH N SH AH N,M EH N SH AH N D
make,M EY K,M EY D
make,M EY K,M EY D
salute,S AH L UW T,S AH L UW T IH D
let,L EH T,L EH T
gain,G EY N,G EY N D
